               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 107,            0.049534,             0.14252,             0.02383,             0.84272,              0.7791,             0.76824,             0.54608,            0.050881,             0.20645,              0.0284,            0.006502,            0.006502,            0.006502
                 108,            0.049289,             0.13927,            0.024073,             0.84122,             0.77856,             0.76869,             0.54556,            0.050921,             0.20537,            0.028433,            0.006469,            0.006469,            0.006469
                 109,            0.048166,             0.13783,            0.023568,             0.84006,             0.77629,             0.76999,             0.55117,            0.050624,             0.20748,            0.028323,            0.006436,            0.006436,            0.006436
                 110,            0.049219,             0.14306,            0.023726,             0.84709,             0.76967,             0.76973,             0.54946,             0.05058,             0.20532,            0.028123,            0.006403,            0.006403,            0.006403
                 111,            0.048212,              0.1374,            0.023346,             0.84635,             0.77857,             0.77129,               0.544,            0.050961,             0.20513,            0.028082,             0.00637,             0.00637,             0.00637
                 112,            0.048756,             0.13864,            0.022894,             0.84205,              0.7842,             0.77236,               0.549,             0.05092,             0.20482,            0.028204,            0.006337,            0.006337,            0.006337
                 113,            0.048055,             0.13827,            0.023119,             0.84353,             0.77886,             0.76976,             0.54833,            0.050765,             0.20656,            0.028148,            0.006304,            0.006304,            0.006304
                 114,            0.048186,             0.13629,            0.023153,             0.83754,             0.78465,                0.77,             0.54893,            0.050693,             0.20549,            0.028006,            0.006271,            0.006271,            0.006271
                 115,            0.047944,             0.13674,            0.022721,             0.84359,             0.77732,             0.76957,             0.55576,            0.050631,             0.20658,            0.028119,            0.006238,            0.006238,            0.006238
                 116,            0.048205,             0.14209,             0.02275,             0.84715,             0.78009,             0.77162,             0.55334,            0.050805,             0.20496,            0.028041,            0.006205,            0.006205,            0.006205
                 117,            0.048505,             0.14073,            0.023393,             0.84859,             0.77927,             0.77348,             0.55888,            0.050395,             0.20709,             0.02803,            0.006172,            0.006172,            0.006172
                 118,            0.048398,             0.13675,            0.022926,             0.84899,             0.77768,             0.77333,             0.55378,            0.050466,             0.20598,            0.027863,            0.006139,            0.006139,            0.006139
                 119,            0.048529,             0.14197,            0.023829,             0.84671,             0.78095,             0.77318,             0.54716,            0.050998,             0.20821,            0.027734,            0.006106,            0.006106,            0.006106
                 120,            0.048622,              0.1442,             0.02325,             0.84441,             0.78191,             0.77368,             0.55917,            0.050321,             0.20461,            0.027887,            0.006073,            0.006073,            0.006073
