               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  90,            0.050666,             0.14048,            0.025115,             0.84125,              0.7606,             0.76061,             0.52448,            0.051551,              0.2134,            0.029269,            0.007063,            0.007063,            0.007063
                  91,            0.049659,             0.14223,            0.024315,              0.8383,              0.7653,             0.76516,             0.53935,            0.051239,             0.21079,            0.029204,             0.00703,             0.00703,             0.00703
                  92,            0.049592,             0.14135,            0.024373,             0.84071,             0.77421,             0.76641,             0.54727,            0.050768,             0.20599,            0.029015,            0.006997,            0.006997,            0.006997
                  93,            0.049468,             0.14012,            0.023823,             0.84108,             0.76326,             0.76548,             0.53943,            0.050829,             0.20892,            0.028819,            0.006964,            0.006964,            0.006964
                  94,            0.050514,             0.14196,            0.024898,             0.84296,             0.76694,             0.76611,             0.54816,            0.050577,             0.20793,            0.028703,            0.006931,            0.006931,            0.006931
                  95,            0.049588,             0.13802,            0.024201,             0.83419,              0.7748,             0.76732,              0.5389,            0.050922,             0.20919,            0.028775,            0.006898,            0.006898,            0.006898
                  96,            0.049888,             0.13583,            0.024262,             0.83902,             0.77262,             0.76356,             0.53158,            0.051162,              0.2109,            0.028961,            0.006865,            0.006865,            0.006865
                  97,            0.049519,             0.13455,            0.023952,             0.84347,             0.77171,              0.7693,             0.54296,            0.050833,             0.21149,             0.02883,            0.006832,            0.006832,            0.006832
                  98,            0.048906,             0.13902,            0.024139,             0.83755,             0.77223,             0.76382,             0.54495,            0.050744,             0.20897,            0.028661,            0.006799,            0.006799,            0.006799
                  99,            0.049108,             0.13978,             0.02404,             0.84284,             0.77278,             0.76691,             0.54465,            0.050951,             0.21014,            0.028506,            0.006766,            0.006766,            0.006766
                 100,            0.049354,             0.13939,            0.024464,             0.83988,             0.77455,             0.76872,             0.54448,             0.05091,             0.20818,             0.02869,            0.006733,            0.006733,            0.006733
                 101,            0.048924,             0.13446,            0.023756,             0.83492,             0.77317,             0.76693,             0.54168,            0.050611,             0.20932,            0.028615,              0.0067,              0.0067,              0.0067
                 102,            0.049527,              0.1338,            0.024608,             0.84762,             0.76943,             0.76721,             0.54713,            0.050572,             0.20858,            0.028819,            0.006667,            0.006667,            0.006667
                 103,            0.049029,             0.13595,            0.023516,             0.84405,             0.76993,             0.76867,             0.54454,            0.050864,             0.21058,            0.028911,            0.006634,            0.006634,            0.006634
